country,totalCases,totalDeaths,totalRecovered,percentDeaths,percentRecovered,rankPercentRecovered,rankPercentDeaths
Anguilla,3904.0,12.0,3879.0,0.3073770491803279,99.35963114754098,33,39
Wallis and Futuna,3550.0,8.0,438.0,0.22535211267605634,12.338028169014084,205,33
Saint Pierre Miquelon,3452.0,2.0,2449.0,0.057937427578215524,70.94438006952491,193,6
Tuvalu,2943.0,1.0,,0.03397893306150187,-1.0,-1,5
Saint Helena,2166.0,,2.0,,0.09233610341643582,209,
Falkland Islands,1930.0,,1930.0,,100.0,1,
Montserrat,1403.0,8.0,1376.0,0.5702066999287242,98.07555238774056,110,70
Niue,880.0,,851.0,,96.70454545454545,146,
Diamond Princess,712.0,13.0,699.0,1.8258426966292134,98.17415730337079,103,170
Tokelau,80.0,,,,-1.0,-1,
Vatican City,29.0,,29.0,,100.0,2,
Western Sahara,10.0,1.0,9.0,10.0,90.0,174,224
MS Zaandam,9.0,2.0,7.0,22.22222222222222,77.77777777777779,189,226
